date,engin,captain,runway,system,offic,airport,control,oper,pilot,land
1966-12-31,23,12,1,6,6,9,4,10,5,13
1967-12-31,0,0,0,0,0,0,0,0,0,0
1968-12-31,13,41,5,4,33,8,42,15,8,15
1969-12-31,16,14,48,16,5,41,33,29,10,35
1970-12-31,35,25,66,23,16,27,26,11,22,37
1971-12-31,12,25,30,33,9,46,13,27,8,27
1972-12-31,25,15,104,6,13,44,6,21,11,22
1973-12-31,9,73,19,7,54,19,10,22,10,11
1974-12-31,31,37,11,30,20,16,16,2,4,11
1975-12-31,47,28,96,12,17,21,15,15,8,19
1976-12-31,17,13,23,29,5,27,51,17,14,19
1977-12-31,27,6,6,16,2,22,12,14,12,5
1978-12-31,48,41,5,7,9,21,81,21,15,12
1979-12-31,29,21,36,32,19,23,39,21,2,60
1980-12-31,13,32,42,18,25,25,31,23,14,20
1981-12-31,66,5,30,32,5,36,48,24,18,25
1982-12-31,14,19,56,25,21,36,24,23,16,12
1983-12-31,25,3,5,5,18,40,7,65,65,9
1984-12-31,24,2,19,11,5,66,53,22,32,10
1985-12-31,97,42,19,28,55,21,18,27,26,9
1986-12-31,24,13,18,19,14,28,32,29,28,17
1987-12-31,73,43,45,73,33,19,17,33,13,12
1988-12-31,57,37,39,54,55,25,31,8,5,23
1989-12-31,96,66,50,60,52,43,36,20,3,33
1990-12-31,19,110,74,14,81,24,46,17,19,29
1991-12-31,62,16,9,34,18,18,22,21,10,16
1992-12-31,56,30,87,23,26,82,36,23,39,49
1993-12-31,65,85,33,48,64,28,27,34,8,42
1994-12-31,17,49,28,70,31,37,59,22,32,22
1995-12-31,106,32,26,26,29,32,21,22,5,24
1996-12-31,132,79,11,31,51,19,10,26,7,25
1997-12-31,53,71,31,51,53,29,41,20,8,26
1998-12-31,17,39,95,47,29,24,42,18,14,39
1999-12-31,28,41,54,45,52,47,49,11,19,42
2000-12-31,71,90,90,36,53,44,48,16,24,33
2001-12-31,21,101,47,37,121,52,67,18,22,25
2002-12-31,54,89,57,26,94,51,30,34,84,36
2003-12-31,116,22,2,21,40,31,14,57,20,35
2004-12-31,47,108,42,64,93,26,21,29,15,59
2005-12-31,83,171,30,41,92,50,36,40,54,12
2006-12-31,74,106,79,37,105,66,35,62,23,10
2007-12-31,85,36,11,80,40,17,18,41,29,33
2008-12-31,34,64,35,39,60,74,41,46,47,68
2009-12-31,19,0,13,73,3,61,116,51,70,8
2010-12-31,11,24,73,57,15,27,4,23,118,104
2011-12-31,50,0,37,31,5,22,21,20,37,10
2012-12-31,65,53,19,37,28,18,19,32,18,11
2013-12-31,11,66,88,54,48,54,11,31,28,21
2014-12-31,39,0,54,79,4,21,20,27,63,18
2015-12-31,29,3,0,85,9,5,23,38,44,8
2016-12-31,70,2,3,20,1,14,3,36,56,8
2017-12-31,8,42,149,54,42,43,65,49,35,49
2018-12-31,107,49,4,64,42,24,48,61,11,31
2019-12-31,13,0,5,44,8,8,12,40,81,32
2020-12-31,0,0,0,0,0,0,0,0,0,0
2021-12-31,1,0,0,0,0,1,3,10,8,0
2022-12-31,10,0,0,7,3,5,12,22,18,4
2023-12-31,14,113,216,53,52,70,91,25,12,20
2024-12-31,0,8,5,25,4,2,6,27,4,25
