date,engin,runway,captain,airport,system,offic,control,land,oper,pilot
1966-11-30,23,1,12,9,6,6,4,13,10,5
1966-12-31,0,0,0,0,0,0,0,0,0,0
1967-01-31,0,0,0,0,0,0,0,0,0,0
1967-02-28,0,0,0,0,0,0,0,0,0,0
1967-03-31,0,0,0,0,0,0,0,0,0,0
1967-04-30,0,0,0,0,0,0,0,0,0,0
1967-05-31,0,0,0,0,0,0,0,0,0,0
1967-06-30,0,0,0,0,0,0,0,0,0,0
1967-07-31,0,0,0,0,0,0,0,0,0,0
1967-08-31,0,0,0,0,0,0,0,0,0,0
1967-09-30,0,0,0,0,0,0,0,0,0,0
1967-10-31,0,0,0,0,0,0,0,0,0,0
1967-11-30,0,0,0,0,0,0,0,0,0,0
1967-12-31,0,0,0,0,0,0,0,0,0,0
1968-01-31,0,0,0,0,0,0,0,0,0,0
1968-02-29,0,0,0,0,0,0,0,0,0,0
1968-03-31,0,0,0,0,0,0,0,0,0,0
1968-04-30,0,0,0,0,0,0,0,0,0,0
1968-05-31,25,0,15,3,19,12,33,4,16,11
1968-06-30,0,0,0,0,0,0,0,0,0,0
1968-07-31,0,0,0,0,0,0,0,0,0,0
1968-08-31,13,5,30,9,7,21,22,15,18,9
1968-09-30,0,0,0,0,0,0,0,0,0,0
1968-10-31,8,1,2,10,7,3,6,9,11,8
1968-11-30,0,0,0,0,0,0,0,0,0,0
1968-12-31,119,78,54,45,52,26,17,58,43,12
1969-01-31,53,5,5,9,20,19,11,8,24,1
1969-02-28,0,0,3,4,0,5,0,0,5,0
1969-03-31,11,29,6,25,6,8,121,32,24,13
1969-04-30,3,3,0,13,9,2,71,2,6,11
1969-05-31,0,0,0,0,0,0,0,0,0,0
1969-06-30,150,30,39,30,2,1,23,18,32,5
1969-07-31,64,10,20,7,64,7,18,28,11,15
1969-08-31,10,67,14,43,5,3,4,43,13,1
1969-09-30,7,1,3,4,12,4,29,7,18,10
1969-10-31,51,32,36,28,43,23,12,46,10,27
1969-11-30,9,18,18,60,7,8,19,13,14,11
1969-12-31,0,0,0,0,0,0,0,0,0,0
1970-01-31,82,32,59,52,40,34,17,51,34,25
1970-02-28,11,7,21,41,13,1,41,11,13,26
1970-03-31,9,53,45,25,7,7,8,13,16,3
1970-04-30,16,31,25,17,4,7,11,22,10,13
1970-05-31,49,33,95,52,23,37,8,62,27,14
1970-06-30,0,0,0,0,0,0,0,0,0,0
1970-07-31,118,81,28,45,24,35,35,41,33,20
1970-08-31,96,0,1,9,1,3,0,12,12,0
1970-09-30,127,69,27,34,38,16,29,45,37,22
1970-10-31,0,0,0,0,0,0,0,0,0,0
1970-11-30,25,82,44,69,29,23,10,67,41,25
1970-12-31,23,53,27,15,11,13,9,42,3,5
1971-01-31,7,20,3,23,6,6,12,20,26,16
1971-02-28,5,43,24,18,10,18,6,38,8,10
1971-03-31,44,29,20,13,5,6,6,8,14,5
1971-04-30,0,0,0,0,0,0,0,0,0,0
1971-05-31,64,0,2,5,6,10,1,21,14,2
1971-06-30,20,28,69,33,49,46,74,23,31,22
1971-07-31,7,113,9,40,33,17,38,30,13,2
1971-08-31,7,12,5,25,5,3,2,11,8,5
1971-09-30,5,6,20,14,13,6,9,7,16,2
1971-10-31,13,24,9,70,11,2,6,19,21,27
1971-11-30,0,0,0,0,0,0,0,0,0,0
1971-12-31,7,34,23,22,28,23,25,43,17,17
1972-01-31,4,6,8,18,6,4,0,19,11,8
1972-02-29,82,2,3,5,4,6,4,7,18,5
1972-03-31,38,7,17,25,5,16,11,21,14,5
1972-04-30,0,2,8,16,1,11,23,6,11,14
1972-05-31,58,88,34,36,20,27,28,83,37,22
1972-06-30,31,81,22,61,38,38,17,60,30,11
1972-07-31,0,0,0,0,0,0,0,0,0,0
1972-08-31,31,55,18,20,17,4,8,9,23,14
1972-09-30,23,104,15,41,6,12,4,22,19,11
1972-10-31,5,1,0,7,3,2,3,1,7,12
1972-11-30,2,10,0,5,1,1,8,6,1,3
1972-12-31,77,86,74,46,78,65,102,61,39,19
1973-01-31,0,0,0,0,0,0,0,0,0,0
1973-02-28,49,9,0,45,0,1,2,6,8,5
1973-03-31,0,0,0,0,0,0,0,0,0,0
1973-04-30,79,20,19,14,15,15,14,26,18,15
1973-05-31,0,0,0,0,0,0,0,0,0,0
1973-06-30,44,15,24,25,9,5,58,25,12,2
1973-07-31,8,27,42,23,14,28,23,11,10,11
1973-08-31,4,1,5,5,32,2,6,3,10,11
1973-09-30,13,19,85,19,8,64,11,13,24,10
1973-10-31,8,78,7,6,5,7,5,39,8,8
1973-11-30,117,126,103,52,57,58,29,93,28,17
1973-12-31,49,58,39,24,23,18,23,32,22,17
1974-01-31,34,161,56,88,34,77,23,74,27,19
1974-02-28,0,0,0,0,0,0,0,0,0,0
1974-03-31,27,12,16,68,9,21,2,7,15,3
1974-04-30,0,0,0,0,0,0,0,0,0,0
1974-05-31,10,0,25,4,2,10,0,5,4,1
1974-06-30,17,0,0,0,23,1,8,21,18,9
1974-07-31,16,0,5,5,2,3,0,6,0,0
1974-08-31,0,0,0,0,0,0,0,0,0,0
1974-09-30,31,12,51,17,34,30,18,14,7,9
1974-10-31,37,0,12,1,7,4,37,9,4,6
1974-11-30,7,0,5,0,11,3,4,5,15,11
1974-12-31,16,0,12,3,43,34,4,3,7,3
1975-01-31,59,42,10,138,19,6,232,19,39,87
1975-02-28,0,0,0,0,0,0,0,0,0,0
1975-03-31,25,18,29,20,5,23,28,42,27,21
1975-04-30,20,51,1,13,5,2,5,24,12,27
1975-05-31,9,22,0,13,7,1,66,17,10,23
1975-06-30,21,66,15,38,14,12,20,21,11,16
1975-07-31,54,3,6,4,3,13,4,3,18,0
1975-08-31,30,69,30,45,11,31,14,26,22,11
1975-09-30,56,99,32,56,14,23,42,31,30,20
1975-10-31,0,0,0,0,0,0,0,0,0,0
1975-11-30,18,93,76,23,30,37,128,32,19,12
1975-12-31,21,40,22,39,6,15,8,10,9,1
1976-01-31,0,0,0,0,0,0,0,0,0,0
1976-02-29,77,15,18,23,5,12,4,29,9,1
1976-03-31,7,10,0,42,1,2,37,18,6,14
1976-04-30,62,109,80,92,18,34,75,81,23,8
1976-05-31,31,0,1,1,5,0,3,1,3,0
1976-06-30,79,48,45,15,14,28,24,29,21,14
1976-07-31,21,0,0,5,2,2,13,7,15,27
1976-08-31,204,18,0,34,6,1,11,31,28,22
1976-09-30,22,23,13,27,35,6,63,21,22,30
1976-10-31,0,0,0,0,0,0,0,0,0,0
1976-11-30,0,0,0,0,0,0,0,0,0,0
1976-12-31,6,33,13,36,2,9,4,15,11,21
1977-01-31,32,52,49,38,28,12,195,10,29,56
1977-02-28,7,8,0,9,14,1,8,4,8,30
1977-03-31,0,0,0,0,0,0,0,0,0,0
1977-04-30,54,6,27,23,22,49,42,11,18,22
1977-05-31,16,0,31,6,11,12,6,52,24,2
1977-06-30,17,62,27,39,0,11,5,15,7,8
1977-07-31,0,0,0,0,0,0,0,0,0,0
1977-08-31,0,0,0,0,0,0,0,0,0,0
1977-09-30,27,6,8,23,17,3,12,5,23,18
1977-10-31,49,3,2,7,5,9,4,11,36,0
1977-11-30,0,0,0,0,0,0,0,0,0,0
1977-12-31,37,35,19,31,14,28,82,34,15,8
1978-01-31,0,0,0,0,0,0,0,0,0,0
1978-02-28,9,8,21,9,39,13,2,7,27,11
